2019-12-07 09:54:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:54:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:54:56 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:54:56 同步部门 任务开始
2019-12-07 09:54:56 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:55:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:55:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:55:17 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:55:17 同步部门 任务开始
2019-12-07 09:55:17 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:55:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:55:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:55:38 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:55:39 同步部门 任务开始
2019-12-07 09:55:39 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:55:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:55:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:56:00 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:56:00 同步部门 任务开始
2019-12-07 09:56:00 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:56:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:56:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:56:21 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:56:21 同步部门 任务开始
2019-12-07 09:56:21 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:56:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:56:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:56:42 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:56:43 同步部门 任务开始
2019-12-07 09:56:43 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:56:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:57:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:57:04 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:57:04 同步部门 任务开始
2019-12-07 09:57:04 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:57:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:57:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:57:25 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:57:25 同步部门 任务开始
2019-12-07 09:57:25 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:57:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:57:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:57:46 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:57:46 同步部门 任务开始
2019-12-07 09:57:46 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:57:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:58:08 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:58:08 同步部门 任务开始
2019-12-07 09:58:08 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:58:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:58:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:58:29 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:58:29 同步部门 任务开始
2019-12-07 09:58:29 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:58:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:58:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:58:50 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:58:50 同步部门 任务开始
2019-12-07 09:58:50 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:59:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:59:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:59:11 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:59:11 同步部门 任务开始
2019-12-07 09:59:12 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:59:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:59:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:59:33 同步部门 [加读锁失败]无法连接到远程服务器
